Source,Cost,Bed,Bath,Address,City,Size
Trulia,"$499,000","4 bd","2ba","10701 Parliament Ave","Garden Grove, CA","1,235 sqft"
Trulia,"$532,888","4 bd","2ba","12252 Browning Rd","Garden Grove, CA","1,337 sqft"
Trulia,"$475,000","4 bd","1ba","8691 Mac Kay Rd","Garden Grove, CA","962 sqft"
Trulia,"$419,000","3 bd","3ba","13272 Yockey St #A","Garden Grove, CA","1,325 sqft"
Trulia,"$579,000","4 bd","2ba","8911 Aberdeen Ln","Garden Grove, CA","1,469 sqft"
Trulia,"$629,900","3 bd","2ba","5641 Santa Catalina Ave","Garden Grove, CA","1,213 sqft"
Trulia,"$499,000","3 bd","2ba","11201 Sherman Ave","Garden Grove, CA","1,444 sqft"
Trulia,"$360,000","2 bd","3ba","9924 13th St","Garden Grove, CA","1,000 sqft"
Trulia,"$439,000","2 bd","3ba","12089 Stonegate Ln","Garden Grove, CA","1,224 sqft"
Trulia,"$449,500","3 bd","3ba","12555 Euclid St #53","Garden Grove, CA",""
Trulia,"$619,900","4 bd","2ba","5701 Richmond Ave","Garden Grove, CA","1,440 sqft"
Trulia,"$69,900","3 bd","2ba","13181 Lampson Ave #214","Garden Grove, CA",""
Trulia,"$635,000","4 bd","2ba","12212 Sapphire St","Garden Grove, CA","1,361 sqft"
Trulia,"$320,000","2 bd","2ba","8970 Palika Pl #2","Garden Grove, CA","851 sqft"
Trulia,"$649,000","4 bd","2ba","5652 Belgrave Ave","Garden Grove, CA","1,651 sqft"
Trulia,"$379,000","","","11831 Situs Na Call Assessor At 714","Garden Grove, CA",""
Trulia,"$379,000","","","11831 Situs Na Call Assessor At 714","Garden Grove, CA",""
Trulia,"$548,000","4 bd","2ba","11971 West St","Garden Grove, CA","1,269 sqft"
Trulia,"$549,000","3 bd","2ba","11772 Eudora Ln","Garden Grove, CA","1,334 sqft"
Trulia,"$639,900","4 bd","2ba","5871 Santa Barbara Ave","Garden Grove, CA","1,200 sqft"
Trulia,"$535,800","3 bd","1ba","10702 Claussen St","Garden Grove, CA","1,204 sqft"
Trulia,"$539,000","3 bd","3ba","11292 Rugh St","Garden Grove, CA","1,099 sqft"
Trulia,"$608,888","4 bd","2ba","8332 Stanford Ave","Garden Grove, CA","1,224 sqft"
Trulia,"$549,999","4 bd","2ba","12171 Bluebell Ave","Garden Grove, CA","1,405 sqft"
Trulia,"$560,000","3 bd","2ba","14161 Pleasant St","Garden Grove, CA","1,219 sqft"
Trulia,"$849,000","4 bd","3ba","5422 Santa Rita Ave","Garden Grove, CA","2,384 sqft"
Trulia,"$649,999","3 bd","2ba","11792 Onyx St","Garden Grove, CA","1,292 sqft"
Trulia,"$609,000","3 bd","2ba","11102 Yana Dr","Garden Grove, CA","1,514 sqft"
Trulia,"$899,000","3 bd","3ba","9322 Stanford Ave","Garden Grove, CA","2,200 sqft"
Trulia,"$675,000","5 bd","3ba","13302 Adland St","Garden Grove, CA","1,093 sqft"
Trulia,"$688,000","4 bd","2ba","13691 Glendora St","Garden Grove, CA","1,531 sqft"
Trulia,"$638,500","4 bd","2ba","12921 Lorna St","Garden Grove, CA","1,550 sqft"
Trulia,"$585,000","3 bd","2ba","12471 McLeod St","Garden Grove, CA","1,488 sqft"
Trulia,"$655,000","3 bd","2ba","11892 9th St","Garden Grove, CA","1,778 sqft"
Trulia,"$624,999","3 bd","3ba","12332 Bluebell Ave","Garden Grove, CA","1,636 sqft"
Trulia,"$449,000","3 bd","2ba","8792 Brookdale Dr","Garden Grove, CA","1,162 sqft"
Trulia,"$585,000","3 bd","2ba","14771 Donegal Dr","Garden Grove, CA","1,098 sqft"
Trulia,"$599,000","3 bd","2ba","13611 Ward St","Garden Grove, CA","1,196 sqft"
Trulia,"$585,000","3 bd","2ba","10422 Blake St","Garden Grove, CA","1,219 sqft"
Trulia,"$599,900","4 bd","2ba","13372 Galway St","Garden Grove, CA","1,909 sqft"
Trulia,"$659,000","4 bd","2ba","10212 Malinda Ln","Garden Grove, CA","1,865 sqft"
Trulia,"$629,900","3 bd","2ba","8241 Lampson Ave","Garden Grove, CA","1,473 sqft"
Trulia,"$585,000","3 bd","2ba","9612 Mansor Ave","Garden Grove, CA","1,231 sqft"
Trulia,"$610,000","3 bd","2ba","12092 Hackamore Rd","Garden Grove, CA","1,657 sqft"
Trulia,"$415,000","2 bd","2ba","12688 Chapman Ave #3215","Garden Grove, CA",""
Trulia,"$435,000","3 bd","2ba","12688 Chapman Ave #3110","Garden Grove, CA",""
Trulia,"$79,000","2 bd","2ba","7700 Lampson Ave #60","Garden Grove, CA",""
Trulia,"$449,000","3 bd","3ba","10243 Stanford Ave #5","Garden Grove, CA",""
Trulia,"$55,900","2 bd","2ba","13096 Blackbird St #143","Garden Grove, CA",""
Trulia,"$75,000","3 bd","2ba","13102 Partridge St #27","Garden Grove, CA","1,200 sqft"
Trulia,"$561,109","3 bd","2ba","9331 Skylark Blvd","Garden Grove, CA","1,476 sqft"
Trulia,"$290,000","2 bd","1ba","10560 Lakeside Dr N #B","Garden Grove, CA","1,040 sqft"
Trulia,"$679,000","4 bd","3ba","6581 Vanguard Ave","Garden Grove, CA","2,236 sqft"
Trulia,"$425,000","3 bd","2ba","12342 Flagstone Pl","Garden Grove, CA","1,007 sqft"
Trulia,"$429,000","3 bd","1ba","11781 Magnolia St","Garden Grove, CA","1,029 sqft"
Trulia,"$529,000","3 bd","1ba","13431 Westlake St","Garden Grove, CA","1,018 sqft"
Trulia,"$393,900","3 bd","2ba","12640 Euclid St #204","Garden Grove, CA","1,486 sqft"
Trulia,"$416,900","3 bd","3ba","8670 C Meadow Brook Ave #C","Garden Grove, CA","1,665 sqft"
Trulia,"$375,000","3 bd","3ba","12554 Green Willow Dr","Garden Grove, CA","1,386 sqft"
Trulia,"$635,000","5 bd","2ba","12751 Firebrand Cir","Garden Grove, CA","2,376 sqft"
Trulia,"$69,000","2 bd","3ba","13102 Partridge St","Garden Grove, CA","960 sqft"
Trulia,"$639,000","4 bd","2ba","12132 Faye Ave","Garden Grove, CA","2,328 sqft"
Trulia,"$699,900","5 bd","2ba","5641 Huntley Ave","Garden Grove, CA","2,397 sqft"
Trulia,"$580,000","3 bd","2ba","9712 Shannon Ave","Garden Grove, CA","1,371 sqft"
Trulia,"$409,900","2 bd","2ba","12668 Chapman Ave #2309","Garden Grove, CA","1,216 sqft"
Trulia,"$1,099,000","5 bd","6ba","13111 Bowen St","Garden Grove, CA","4,537 sqft"
Trulia,"$488,000","4 bd","2ba","12281 Strathmore Dr","Garden Grove, CA","1,606 sqft"
Trulia,"$330,000","3 bd","2ba","11265 Parkview Ln #92","Garden Grove, CA","992 sqft"
Trulia,"$586,262","","","13482 Taft St","Garden Grove, CA",""
Trulia,"$704,900","4 bd","2ba","9618 Halekulani Dr","Garden Grove, CA","2,459 sqft"
Trulia,"$470,000","3 bd","2ba","12671 Woodbury Rd","Garden Grove, CA","1,388 sqft"
Trulia,"$379,900","3 bd","3ba","13167 Wilson St","Garden Grove, CA","1,340 sqft"
Trulia,"$689,900","4 bd","3ba","11071 Bixler Cir","Garden Grove, CA","2,379 sqft"
Trulia,"$665,000","4 bd","4ba","12052 Jacalene Ln","Garden Grove, CA","2,247 sqft"
Trulia,"$679,000","4 bd","3ba","8911 Ann Cross Dr","Garden Grove, CA","2,334 sqft"
Trulia,"$457,000","2 bd","3ba","6891 Almondine Dr","Garden Grove, CA","1,460 sqft"
Trulia,"$979,000","5 bd","4ba","10261 Central Ave","Garden Grove, CA","3,300 sqft"
Trulia,"$699,000","5 bd","2ba","8242 Niland Way","Garden Grove, CA","2,599 sqft"
