Source,Cost,Bed,Bath,Address,City,Size
Trulia,"","3 bd","3ba","Pinehurst Ct","Fullerton, CA","2,023 sqft"
Trulia,"","3 bd","3ba","Arbol Dr","Fullerton, CA","3,332 sqft"
Trulia,"","3 bd","3ba","Plaza De Vis","Fullerton, CA","1,904 sqft"
Trulia,"","4 bd","3ba","Baronet Pl","Fullerton, CA","2,669 sqft"
Trulia,"","4 bd","2ba","Magnolia Ave","Fullerton, CA","1,381 sqft"
Trulia,"","4 bd","3ba","Farview Rd","Fullerton, CA","2,675 sqft"
Trulia,"Contact For Estimate","3 bd","1ba","2101 W Hill Ave","Fullerton, CA","1,095 sqft"
Trulia,"Contact For Estimate","3 bd","4ba","1815 Catlin St","Fullerton, CA","3,274 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","1007 S Cedar Ave","Fullerton, CA","1,427 sqft"
Trulia,"Contact For Estimate","2 bd","1ba","2425 W Flower Ave","Fullerton, CA","1,041 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","605 S Newell Ave","Fullerton, CA","1,252 sqft"
Trulia,"Contact For Estimate","3 bd","1ba","1508 W Wilshire Ave","Fullerton, CA","1,216 sqft"
Trulia,"$599,900","3 bd","3ba","2289 Yarbough Dr","Fullerton, CA",""
Trulia,"Contact For Estimate","2 bd","3ba","137 Pritchard Ave","Fullerton, CA","1,295 sqft"
Trulia,"Contact For Estimate","3 bd","1ba","2136 W Ash Ave","Fullerton, CA","1,267 sqft"
Trulia,"Contact For Estimate","3 bd","3ba","2321 Applewood Cir #53","Fullerton, CA","1,444 sqft"
Trulia,"Contact For Estimate","1 bd","1ba","301 N Ford Ave #323","Fullerton, CA","462 sqft"
Trulia,"Contact For Estimate","4 bd","3ba","724 Pueblo Pl","Fullerton, CA","2,600 sqft"
Trulia,"","3 bd","3ba","Flame Flower Ln","Fullerton, CA","1,491 sqft"
Trulia,"","3 bd","2ba","Ponderosa Ave","Fullerton, CA","1,058 sqft"
Trulia,"","3 bd","3ba","Princeton Cir W","Fullerton, CA","2,266 sqft"
Trulia,"","3 bd","1ba","Basque Ave","Fullerton, CA","1,126 sqft"
Trulia,"","4 bd","2ba","Concord Ave","Fullerton, CA","1,969 sqft"
Trulia,"","3 bd","2ba","S Newell Ave","Fullerton, CA","1,092 sqft"
